練習問題セット,設問,生成日時,カテゴリ,正誤,正答,あなたの回答,出題内容,選択肢A,選択肢B,選択肢C,選択肢D,選択肢A ヘルプ参照先,選択肢A ヘルプ参照先URL,選択肢B ヘルプ参照先,選択肢B ヘルプ参照先URL,選択肢C ヘルプ参照先,選択肢C ヘルプ参照先URL,選択肢D ヘルプ参照先,選択肢D ヘルプ参照先URL,選択肢A テキスト参照先,選択肢B テキスト参照先,選択肢C テキスト参照先,選択肢D テキスト参照先,対応試験
2,1,2025/10/15 23:06,アプリ,誤,BD,,"「アプリの設定」→「フォーム」タブで、「計算」フィールドの計算式で参照できないフィールドの種類をすべて選びなさい。","ドロップダウン","関連レコード一覧","チェックボックス","ラベル",計算式で参照できるフィールド,https://jp.cybozu.help/k/ja/id/040498.html,計算式で参照できるフィールド,https://jp.cybozu.help/k/ja/id/040498.html,計算式で参照できるフィールド,https://jp.cybozu.help/k/ja/id/040498.html,計算式で参照できるフィールド,https://jp.cybozu.help/k/ja/id/040498.html,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2024年10月31日改定
2,2,2025/10/15 23:06,アプリ,誤,B,,"アプリのコメント機能の説明として、正しいものを1つ選びなさい。","アプリのコメント機能は無効に設定することができない。","コメントの宛先を指定した場合は、アプリの通知の設定にかかわらず、宛先のユーザーに「自分宛」として通知される。","返信機能（全員に返信機能を含む）で宛先に指定できる対象は「ユーザー」のみである。","一度書き込んだコメントであっても、あとから編集することができる。",レコードにコメントを書き込む,https://jp.cybozu.help/k/ja/id/040463.html,レコードにコメントを書き込む,https://jp.cybozu.help/k/ja/id/040463.html,レコードにコメントを書き込む,https://jp.cybozu.help/k/ja/id/040463.html,レコードにコメントを書き込む,https://jp.cybozu.help/k/ja/id/040463.html,3-7-4 高度な設定,1-3-2 コメントの宛先指定,1-3-2 コメントの宛先指定,1-3-1 レコードのコメントの表示,2024年10月31日改定
2,3,2025/10/15 23:06,アプリ,誤,C,,"「アプリの設定」→「フォーム」タブで、「時刻」フィールドの説明として、正しいものを1つ選びなさい。","アプリごとに、時刻の表記を12時間表記、または24時間表記に切り替えられる。
初期設定では、12時間表記が設定されている。","時刻のドロップダウンに、特定の範囲の時刻のみを指定して表示することができる。
（例：会社の始業時刻から終業時刻のみを表示する等）","入力した時刻は、ユーザーのタイムゾーンにかかわらず、すべてのユーザーで同じ時刻が表示される。","「時刻」フィールドをクリックしたときに表示されるドロップダウンリストの時刻表記は、15分単位で選択できる。",時刻,https://jp.cybozu.help/k/ja/id/040540.html,時刻,https://jp.cybozu.help/k/ja/id/040540.html,時刻,https://jp.cybozu.help/k/ja/id/040540.html,時刻,https://jp.cybozu.help/k/ja/id/040540.html,2-2-6 日付と時刻,2-2-6 日付と時刻,2-2-6 日付と時刻,2-2-6 日付と時刻,2024年10月31日改定
2,4,2025/10/15 23:06,アプリ,誤,A,,"「アプリの設定」→「フォーム」タブで、「数値」フィールドの説明として、正しいものを1つ選びなさい。","数値フィールドに入力した値は、kintone全体の検索や、アプリ内検索、スペース内検索の対象にはならない。","小数点以下の表示桁数を指定して、指定した桁数を超えた小数部を四捨五入して表示できる。","「数値」フィールドで指定した単位記号は、変更履歴には表示されない。","入力可能な値の範囲について、最小値と最大値のどちらか一方しか指定できない。",数値,https://jp.cybozu.help/k/ja/id/040534.html,数値,https://jp.cybozu.help/k/ja/id/040534.html,数値,https://jp.cybozu.help/k/ja/id/040534.html,数値,https://jp.cybozu.help/k/ja/id/040534.html,6-3-1 kintone全体を検索する,2-2-4 数値と計算,2-2-4 数値と計算,2-2-4 数値と計算,2024年10月31日改定
2,5,2025/10/15 23:06,アプリ,誤,AD,,"「アプリの設定」→「設定」タブで、設定や実行ができることをすべて選びなさい。","アプリの所属するスペースを変更","グラフの設定","フィールドの条件通知","プロセス管理",アプリの設定,https://jp.cybozu.help/k/ja/id/040470.html,アプリの設定,https://jp.cybozu.help/k/ja/id/040470.html,アプリの設定,https://jp.cybozu.help/k/ja/id/040470.html,アプリの設定,https://jp.cybozu.help/k/ja/id/040470.html,3-8-3 アプリの所属するスペースを変更,1-5-3 グラフ設定と定期レポート,3-4-3 レコードの条件通知,3-3-2 プロセス管理の設定,2024年10月31日改定
2,6,2025/10/15 23:06,アプリ,誤,C,,"CONTAINS関数を使って、宿泊食事フィールドの夕食または朝食のいずれかにチェックがあれば「食事あり」、そうでなければ「食事なし」と表示するための計算式として、適切なものを1つ選びなさい。","IF(CONTAINS(宿泊食事,""夕食""OR""朝食""), ""食事あり"", ""食事なし"")","IF(CONTAINS(宿泊食事,OR(""夕食"",""朝食"")), ""食事あり"", ""食事なし"")","IF(OR(CONTAINS(宿泊食事, ""夕食""),CONTAINS(宿泊食事, ""朝食"")), ""食事あり"", ""食事なし"")","IF(AND(CONTAINS(宿泊食事, ""夕食""),CONTAINS(宿泊食事, ""朝食"")), ""食事あり"", ""食事なし"")",[CONTAINS関数]チェックボックス、複数選択の計算,https://jp.cybozu.help/k/ja/id/040506.html,[CONTAINS関数]チェックボックス、複数選択の計算,https://jp.cybozu.help/k/ja/id/040506.html,[CONTAINS関数]チェックボックス、複数選択の計算,https://jp.cybozu.help/k/ja/id/040506.html,[CONTAINS関数]チェックボックス、複数選択の計算,https://jp.cybozu.help/k/ja/id/040506.html,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2-4-3 計算式,2024年10月31日改定
2,7,2025/10/15 23:06,アプリ,誤,BC,,"「アプリの設定」→「フォーム」タブで、存在するフィールドをすべて選びなさい。","メンバー選択","グループ選択","組織選択","チーム選択",フォームを設定する,https://jp.cybozu.help/k/ja/id/040554.html,フォームを設定する,https://jp.cybozu.help/k/ja/id/040554.html,フォームを設定する,https://jp.cybozu.help/k/ja/id/040554.html,フォームを設定する,https://jp.cybozu.help/k/ja/id/040554.html,2-2-9 ユーザーや組織の選択,2-2-9 ユーザーや組織の選択,2-2-9 ユーザーや組織の選択,2-2-9 ユーザーや組織の選択,2024年10月31日改定
2,8,2025/10/15 23:06,アプリ,誤,A,,"レコードのアクセス権の設定の説明として、次の【ア】および【イ】に当てはまる単語の組み合わせで、正しいものを1つ選びなさい。

特定の【ア】が指定した値になった場合、一部のユーザーだけがその【イ】を閲覧できるように制限したい。","【ア】：フィールド
【イ】：レコード","【ア】：フィールド
【イ】：フィールド","【ア】：レコード
【イ】：フィールド","【ア】：レコード
【イ】：レコード",レコードにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/040595.html,レコードにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/040595.html,レコードにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/040595.html,レコードにアクセス権を設定する,https://jp.cybozu.help/k/ja/id/040595.html,3-6-3 レコードのアクセス権,3-6-3 レコードのアクセス権,3-6-3 レコードのアクセス権,3-6-3 レコードのアクセス権,2024年10月31日改定
2,9,2025/10/15 23:06,アプリ,誤,A,,"レコードの変更履歴の説明として、正しいものを1つ選びなさい。","レコード編集時に何も変更せずに保存した場合、変更履歴のバージョン番号が連番にならず、欠番が発生することがある。","レコードの変更履歴の記録機能は、無効に設定できない。","表示されるのはあくまで変更履歴のみであり、レコードの作成者・作成日時を確認できない。","プロセス管理のステータスについて、変更履歴から前のバージョンに戻すことができる。",レコードの変更履歴を確認する／前のバージョンに戻す,https://jp.cybozu.help/k/ja/id/040461.html,レコードの変更履歴を確認する／前のバージョンに戻す,https://jp.cybozu.help/k/ja/id/040461.html,レコードの変更履歴を確認する／前のバージョンに戻す,https://jp.cybozu.help/k/ja/id/040461.html,レコードの変更履歴を確認する／前のバージョンに戻す,https://jp.cybozu.help/k/ja/id/040461.html,1-3-3 変更履歴の表示,1-3-4 変更履歴の無効,1-3-3 変更履歴の表示,3-3-2 プロセス管理の設定,2024年10月31日改定
2,10,2025/10/15 23:06,アプリ,誤,AD,,"「アプリの設定」→「フォーム」タブで、選択肢の中から2つ以上選ばせたいときに使用するフィールドとして、誤っているものをすべて選びなさい。","ラジオボタン","ユーザー選択","チェックボックス","ドロップダウン",フォームを設定する,https://jp.cybozu.help/k/ja/id/040554.html,フォームを設定する,https://jp.cybozu.help/k/ja/id/040554.html,フォームを設定する,https://jp.cybozu.help/k/ja/id/040554.html,フォームを設定する,https://jp.cybozu.help/k/ja/id/040554.html,2-2-5 選択肢,2-2-9 ユーザーや組織の選択,2-2-5 選択肢,2-2-5 選択肢,2024年10月31日改定
