練習問題セット,設問,生成日時,カテゴリ,正誤,正答,あなたの回答,出題内容,選択肢A,選択肢B,選択肢C,選択肢D,選択肢A ヘルプ参照先,選択肢A ヘルプ参照先URL,選択肢B ヘルプ参照先,選択肢B ヘルプ参照先URL,選択肢C ヘルプ参照先,選択肢C ヘルプ参照先URL,選択肢D ヘルプ参照先,選択肢D ヘルプ参照先URL,選択肢A テキスト参照先,選択肢B テキスト参照先,選択肢C テキスト参照先,選択肢D テキスト参照先,対応試験
3,1,2025/10/15 23:06,アプリ,誤,ACD,,"「アプリの設定」→「フォーム」タブで、「ラベル」フィールドに、レコード入力時の参考情報ページへのリンクを記載したい。
利用者の利便性を上げるため、リンクをクリックしたときに、新しいタブで表示するように設定する方法として、適切でないものをすべて選びなさい。","「アプリの設定」→「フォーム」タブで、「ラベル」フィールドにリンクを設定し、文字色を青に変更する。","「アプリの設定」→「フォーム」タブで、「ラベル」フィールドにリンクを設定し、「リンク先を新しいタブで開く」をチェックする。","「アプリ管理」を開き、「ラベル」フィールドではリンク先を新しいタブで開くように設定を行う。","「アプリの設定」→「フォーム」タブで、「ラベル」フィールドにリンクを設定すると、リンクをクリックしたときに、必ず新しいタブで表示されるので、特に操作する必要はない。",ラベル,https://jp.cybozu.help/k/ja/id/040531.html,ラベル,https://jp.cybozu.help/k/ja/id/040531.html,ラベル,https://jp.cybozu.help/k/ja/id/040531.html,ラベル,https://jp.cybozu.help/k/ja/id/040531.html,2-2-2 ラベル,2-2-2 ラベル,2-2-2 ラベル,2-2-2 ラベル,2024年10月31日改定
3,2,2025/10/15 23:06,アプリ,誤,AD,,"「アプリの設定」→「フォーム」タブで、「文字列（複数行）」フィールドの説明として、誤っているものをすべて選びなさい。","計算式を設定し、計算結果の文字列を表示するフィールドとして利用できる。","改行した文字列は、改行した状態でファイルへ書き出しされる。","初期値を指定できる。","最小文字数と最大文字数のどちらか一方、または両方を指定できる。",計算式の設定,https://jp.cybozu.help/k/ja/id/040495.html,文字列（複数行）,https://jp.cybozu.help/k/ja/id/040538.html,文字列（複数行）,https://jp.cybozu.help/k/ja/id/040538.html,文字列（複数行）,https://jp.cybozu.help/k/ja/id/040538.html,2-2-3 文字,2-2-3 文字,2-2-3 文字,2-2-3 文字,2024年10月31日改定
3,3,2025/10/15 23:06,アプリ,誤,C,,"カテゴリー機能の説明として、誤っているものを1つ選びなさい。","レコード一覧に表示される。","カテゴリーを有効にすると、フォームに「カテゴリー」フィールドが追加され、レコードを分類できる。","10階層まで設定できる。","「ファイルから読み込む」機能で、一括で読み込みができる。",カテゴリーの設定,https://jp.cybozu.help/k/ja/id/040489.html,カテゴリーの設定,https://jp.cybozu.help/k/ja/id/040489.html,カテゴリーの設定,https://jp.cybozu.help/k/ja/id/040489.html,カテゴリーの設定,https://jp.cybozu.help/k/ja/id/040489.html,3-7-1 カテゴリー,3-7-1 カテゴリー,3-7-1 カテゴリー,3-7-1 カテゴリー,2024年10月31日改定
3,4,2025/10/15 23:06,アプリ,誤,D,,"アプリのレコード詳細画面の説明として、誤っているものを1つ選びなさい。","コメント機能を有効にしている場合、レコード詳細画面を開くと、常にコメント欄は開いた状態で表示される。","レコード詳細画面でショートカットキーを使用することができる。","画面右上の「次のレコードに移動する」アイコンをクリックすると、アプリ内の次のレコードを表示する。","「レコードを再利用する」機能が有効の場合、画面右上の「レコードを再利用する」アイコンをクリックすると、すべてのフィールドの値をコピーして、新規レコードを登録する画面が開く。",レコードにコメントを書き込む,https://jp.cybozu.help/k/ja/id/040463.html,ショートカットキーでkintoneを操作する方法,https://jp.cybozu.help/k/ja/id/040319.html,レコードにコメントを書き込む,https://jp.cybozu.help/k/ja/id/040463.html,レコードにコメントを書き込む,https://jp.cybozu.help/k/ja/id/040463.html,1-3-1 レコードのコメントの表示,1-2-2 レコードの登録,1-2-2 レコードの登録,1-2-2 レコードの登録,2024年10月31日改定
3,5,2025/10/15 23:06,アプリ,誤,AC,,"ほかのアプリを再利用して新しく作成する場合に、作成するアプリに引き継がれる値や設定をすべて選びなさい。","ルックアップの設定","APIトークン","プラグインの有効／無効の状態","アプリに登録したレコードのデータ",ほかのアプリを再利用して新しく作成する（アプリのコピー）,https://jp.cybozu.help/k/ja/id/040630.html,ほかのアプリを再利用して新しく作成する（アプリのコピー）,https://jp.cybozu.help/k/ja/id/040630.html,ほかのアプリを再利用して新しく作成する（アプリのコピー）,https://jp.cybozu.help/k/ja/id/040630.html,ほかのアプリを再利用して新しく作成する（アプリのコピー）,https://jp.cybozu.help/k/ja/id/040630.html,1-1-9 方法6：ほかのアプリを再利用して新しく作成する（アプリのコピー）,1-1-9 方法6：ほかのアプリを再利用して新しく作成する（アプリのコピー）,1-1-9 方法6：ほかのアプリを再利用して新しく作成する（アプリのコピー）,1-1-9 方法6：ほかのアプリを再利用して新しく作成する（アプリのコピー）,2024年10月31日改定
3,6,2025/10/15 23:06,アプリ,誤,AC,,"アプリグループの説明として、適切なものをすべて選びなさい。","スペース内アプリは「Public」に所属し、アプリグループを変更することはできない。","「Private」に所属するアプリも、契約のコースで作成できるアプリ数の上限に含まれる。","「Private」に所属するアプリは、そのアプリの作成者だけに公開される。","「Public」と「Private」以外のアプリグループを作成できない。",アプリグループとは,https://jp.cybozu.help/k/ja/id/04028.html,アプリグループとは,https://jp.cybozu.help/k/ja/id/04028.html,アプリグループとは,https://jp.cybozu.help/k/ja/id/04028.html,アプリグループとは,https://jp.cybozu.help/k/ja/id/04028.html,4-2-3 スペース内アプリ,3-6-2 アプリのアクセス権,3-6-2 アプリのアクセス権,5-3-2 アプリの管理,2024年10月31日改定
3,7,2025/10/15 23:06,アプリ,誤,A,,"レコード一覧画面で、表示するレコードを絞り込む機能について、誤っているものを1つ選びなさい。","レコードを日付で絞り込むときの選択肢は、「今年／今月／今日」のみである。","レコードの表示順は指定できる。","テーブル内のフィールドは絞り込みの条件に指定できる。","絞り込んだレコード数が10万件を超えると警告が表示され、レコードが正しく絞りこまれない場合がある。",一覧に表示するレコードを絞り込む,https://jp.cybozu.help/k/ja/id/040458.html,一覧に表示するレコードを絞り込む,https://jp.cybozu.help/k/ja/id/040458.html,一覧に表示するレコードを絞り込む,https://jp.cybozu.help/k/ja/id/040458.html,一覧に表示するレコードを絞り込む,https://jp.cybozu.help/k/ja/id/040458.html,1-4-2 一覧の作成,1-4-2 一覧の作成,1-4-2 一覧の作成,1-4-2 一覧の作成,2024年10月31日改定
3,8,2025/10/15 23:06,アプリ,誤,BD,,"レコード一覧画面で、各フィールドの列幅を変更する際の説明として、誤っているものをすべて選びなさい。","ユーザー個人が設定した列幅は、ログインユーザーとWebブラウザーの組み合わせで保持される。","各ユーザーは、レコード一覧の各フィールドの列幅を、アプリの設定に保存できる。","一覧の設定画面で列幅を変更する際に、列幅をpx（ピクセル）で指定できる。","アプリ管理者が一覧の列幅をアプリの設定に保存した場合、各ユーザーは個別に列幅を変更できない。",各ユーザーが個別に一覧の列幅を変更する,https://jp.cybozu.help/k/ja/id/040613.html,一覧の列幅をアプリ設定に保存する,https://jp.cybozu.help/k/ja/id/040611.html,一覧の列幅をアプリ設定に保存する,https://jp.cybozu.help/k/ja/id/040611.html,一覧の列幅をアプリ設定に保存する,https://jp.cybozu.help/k/ja/id/040611.html,1-4-3 一覧の列幅の変更,1-4-3 一覧の列幅の変更,1-4-3 一覧の列幅の変更,1-4-3 一覧の列幅の変更,2024年10月31日改定
3,9,2025/10/15 23:06,アプリ,誤,BCD,,"「アプリの設定」→「フォーム」タブで、「ルックアップ」フィールドの説明として、正しいものをすべて選びなさい。","コピー元に設定したアプリの値が更新されると、自動的に「ルックアップ」フィールドの値が更新される。","コピー元のフィールドには、「リンク」に設定したフィールドを指定できる。","関連付けるアプリを一度選択した後にフォームを保存すると、この設定を変更できない。","コピー元のフィールドには、「テーブル」に設定したフィールドは指定できない。",ルックアップを設定する,https://jp.cybozu.help/k/ja/id/040547.html,ルックアップ,https://jp.cybozu.help/k/ja/id/040526.html,ルックアップ,https://jp.cybozu.help/k/ja/id/040526.html,ルックアップ,https://jp.cybozu.help/k/ja/id/040526.html,2-5-1 ルックアップとは,2-5-2 ルックアップを設定する,2-5-2 ルックアップを設定する,2-5-2 ルックアップを設定する,2024年10月31日改定
3,10,2025/10/15 23:06,アプリ,誤,C,,"「アプリの設定」→「フォーム」タブで設定できるフィールドとその説明として、正しいものを1つ選びなさい。","時刻：時刻を入力するフィールド。
入力した時刻は、ユーザーのタイムゾーンの設定に合わせて表示される。","四半期：1年のうち、四半期を入力するフィールド。
入力した四半期は、すべてのユーザーで同じ期間が表示される。","日付：日付を入力するフィールド。カレンダーから日付を選択できる。
入力した日付は、ユーザーのタイムゾーンにかかわらず、すべてのユーザーで同じ日付が表示される。","日時：日付と時刻を組み合わせた、日時を入力するフィールド。
入力した日時は、ユーザーのタイムゾーンにかかわらず、すべてのユーザーで同じ日付や時刻が表示される。",kintoneで利用できるフィールド一覧,https://jp.cybozu.help/k/ja/id/040513.html,kintoneで利用できるフィールド一覧,https://jp.cybozu.help/k/ja/id/040513.html,kintoneで利用できるフィールド一覧,https://jp.cybozu.help/k/ja/id/040513.html,kintoneで利用できるフィールド一覧,https://jp.cybozu.help/k/ja/id/040513.html,2-2-6 日付と時刻,2-2-6 日付と時刻,2-2-6 日付と時刻,2-2-6 日付と時刻,2024年10月31日改定
